Sexo;Ciclo;Habilidades TIC;Total
Ambos sexos;Técnico superior en automatización y robótica industrial;No usuario de las TIC;0,7
Ambos sexos;11 - ENERGÍA Y AGUA;Total;100,0
Ambos sexos;11 - ENERGÍA Y AGUA;Usuario experto;19,9
Ambos sexos;11 - ENERGÍA Y AGUA;Usuario de nivel avanzado;72,1
Ambos sexos;11 - ENERGÍA Y AGUA;Usuario de nivel básico;8,1
Ambos sexos;11 - ENERGÍA Y AGUA;No usuario de las TIC;0,0
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Total;100,0
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Usuario experto;12,4
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Usuario de nivel avanzado;61,3
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Usuario de nivel básico;26,4
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;No usuario de las TIC;0,0
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Total;100,0
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Usuario experto;24,3
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Usuario de nivel avanzado;67,4
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Usuario de nivel básico;8,4
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en proyectos de edificación;Total;100,0
Ambos sexos;Técnico superior en proyectos de edificación;Usuario experto;27,1
Ambos sexos;Técnico superior en proyectos de edificación;Usuario de nivel avanzado;65,8
Ambos sexos;Técnico superior en proyectos de edificación;Usuario de nivel básico;7,1
Ambos sexos;Técnico superior en proyectos de edificación;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Total;100,0
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Usuario experto;19,9
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Usuario de nivel avanzado;69,9
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Usuario de nivel básico;10,2
